GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.mangila:ensure4j,io.github.mangila.ensure4j,EnsureException,0,9,0,0,0,3,0,2,0,2
io.github.mangila:ensure4j,io.github.mangila.ensure4j,Ensure,0,342,0,38,0,105,0,72,0,53
